baseline_id	industry	size_class	region	accident_count	death_count	serious_ratio	top_accident_type
1	건설업	1,000인 이상	강원	384	6	0.0156	업무상질병
2	건설업	1,000인 이상	경기	1146	21	0.0183	업무상질병
3	건설업	1,000인 이상	경남	202	9	0.0446	업무상질병
4	건설업	1,000인 이상	경북	43	2	0.0465	업무상질병
5	건설업	1,000인 이상	광주	10	1	0.1000	업무상질병
6	건설업	1,000인 이상	대구	7	2	0.2857	업무상질병
7	건설업	1,000인 이상	대전	14	0	0.0000	업무상질병
8	건설업	1,000인 이상	부산	55	8	0.1455	업무상질병
9	건설업	1,000인 이상	서울	553	10	0.0181	업무상질병
10	건설업	1,000인 이상	울산	277	3	0.0108	업무상질병
11	건설업	1,000인 이상	인천	392	7	0.0179	업무상질병
12	건설업	1,000인 이상	전남	142	0	0.0000	업무상질병
13	건설업	1,000인 이상	전북	9	0	0.0000	물체에맞음
14	건설업	1,000인 이상	제주	45	2	0.0444	떨어짐
15	건설업	1,000인 이상	충남	218	3	0.0138	업무상질병
16	건설업	1,000인 이상	충북	286	2	0.0070	넘어짐
17	건설업	100~299인	강원	1201	34	0.0283	업무상질병
18	건설업	100~299인	경기	9009	217	0.0241	업무상질병
19	건설업	100~299인	경남	1172	20	0.0171	업무상질병
20	건설업	100~299인	경북	979	24	0.0245	업무상질병
21	건설업	100~299인	광주	773	11	0.0142	업무상질병
22	건설업	100~299인	대구	1759	22	0.0125	업무상질병
23	건설업	100~299인	대전	1520	13	0.0086	업무상질병
24	건설업	100~299인	부산	1462	31	0.0212	업무상질병
25	건설업	100~299인	서울	3222	72	0.0223	업무상질병
26	건설업	100~299인	울산	587	20	0.0341	업무상질병
27	건설업	100~299인	인천	2269	46	0.0203	업무상질병
28	건설업	100~299인	전남	728	10	0.0137	업무상질병
29	건설업	100~299인	전북	727	17	0.0234	업무상질병
30	건설업	100~299인	제주	212	5	0.0236	업무상질병
31	건설업	100~299인	충남	1348	30	0.0223	업무상질병
32	건설업	100~299인	충북	802	8	0.0100	업무상질병
33	건설업	10~19인	강원	1794	28	0.0156	업무상질병
34	건설업	10~19인	경기	8536	154	0.0180	떨어짐
35	건설업	10~19인	경남	2076	28	0.0135	떨어짐
36	건설업	10~19인	경북	1667	35	0.0210	떨어짐
37	건설업	10~19인	광주	1312	19	0.0145	떨어짐
38	건설업	10~19인	대구	1691	21	0.0124	떨어짐
39	건설업	10~19인	대전	1522	17	0.0112	떨어짐
40	건설업	10~19인	부산	1903	42	0.0221	떨어짐
41	건설업	10~19인	서울	6208	99	0.0159	떨어짐
42	건설업	10~19인	울산	784	20	0.0255	업무상질병
43	건설업	10~19인	인천	1714	26	0.0152	떨어짐
44	건설업	10~19인	전남	1409	18	0.0128	업무상질병
45	건설업	10~19인	전북	1572	25	0.0159	떨어짐
46	건설업	10~19인	제주	568	3	0.0053	떨어짐
47	건설업	10~19인	충남	1607	38	0.0236	떨어짐
48	건설업	10~19인	충북	1511	33	0.0218	떨어짐
49	건설업	20~29인	강원	857	18	0.0210	업무상질병
50	건설업	20~29인	경기	5231	84	0.0161	떨어짐
51	건설업	20~29인	경남	1065	16	0.0150	떨어짐
52	건설업	20~29인	경북	826	21	0.0254	업무상질병
53	건설업	20~29인	광주	621	5	0.0081	떨어짐
54	건설업	20~29인	대구	905	9	0.0099	떨어짐
55	건설업	20~29인	대전	915	8	0.0087	떨어짐
56	건설업	20~29인	부산	1152	16	0.0139	떨어짐
