raw_kosha_sub_industry_82,normalized_category_44,model_category_code
건물등의종합관리사업,건물관리·위생서비스업,0
"건물종합관리,위생및유사서비스업",건물관리·위생서비스업,0
건설업,건설업,1
계량기·광학기계·기타정밀기구제조업,전기·전자·정밀기구제조업,33
고무제품제조업,화학및고무제품제조업,43
교육서비스업,교육서비스업,2
국가및지방자치단체의사업,국가및지방자치단체의사업,3
금속제련업,금속제련업,4
금융및보험업,금융및보험업,5
"기계기구,비금속광물및금속제품제조업",기계기구·비금속·금속제조업,6
기계기구·금속·비금속광물제품제조업,기계기구·비금속·금속제조업,6
기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업,기계기구·비금속·금속제조업,6
기계기구제조업,기계기구·비금속·금속제조업,6
기타의각종사업,기타의각종사업,8
기타제조업,기타제조업,9
농업,농업,10
담배제조업,기타제조업,9
도·소매및소비자용품수리업,도소매·음식·숙박업,12
도금업,도금업,11
도소매·음식·숙박업,도소매·음식·숙박업,12
도자기ㆍ기타요업제품ㆍ시멘트제조업,요업·유리·시멘트제조업,27
도자기및기타요업제품제조업,요업·유리·시멘트제조업,27
목재및나무제품제조업,목재·종이·펄프제조업,13
목재및종이제품제조업,목재·종이·펄프제조업,13
보건및사회복지사업,보건및사회복지사업,14
부동산업및임대업,부동산업및임대업,15
비금속광물제품및금속제품제조업또는금속가공업,기계기구·비금속·금속제조업,6
사업서비스업,사업서비스업,16
석탄광업및채석업,석탄광업및채석업,17
석회석·금속·비금속광업및기타광업,석회석·금속·비금속광업및기타광업,18
선박건조및수리업,선박건조및수리업,19
섬유또는섬유제품제조업(갑),섬유및섬유제품제조업,20
섬유또는섬유제품제조업(을),섬유및섬유제품제조업,20
섬유및섬유제품제조업,섬유및섬유제품제조업,20
"수상운수업,항만하역및화물취급사업",항만·수상운수업,41
수송용기계기구제조업,수송용기계기구제조업,21
수송용기계기구제조업ㆍ자동차및모터사이클수리업,수송용기계기구제조업,21
수제품및기타제품제조업,수제품및기타제조업,22
수제품제조업,수제품및기타제조업,22
시멘트제조업,요업·유리·시멘트제조업,27
시설관리및사업지원서비스업,시설관리및사업지원서비스업,24
식료품제조업,식료품제조업,23
"신문·화폐발행,출판업및인쇄업",출판·인쇄·제본업,38
어업,어업,25
"어업및양식어업,어업관련서비스업",어업,25
오락·문화및운동관련사업,오락·문화및운동관련사업,26
운수관련서비스업,창고및운수관련서비스업,36
위생및유사서비스업,건물관리·위생서비스업,0
유리ㆍ도자기ㆍ시멘트제조업,요업·유리·시멘트제조업,27
유리제조업,요업·유리·시멘트제조업,27
육상및수상운수업,육상및수상운수업,28
의약품·화장품·연탄·석유제품제조업,화학·의약품·석유제품제조업,42
의약품ㆍ화장품향료ㆍ담배제조업,화학·의약품·석유제품제조업,42
의약품및화장품향료제조업,화학·의약품·석유제품제조업,42
임업,임업,29
자동차및모터사이클수리업,자동차및모터사이클수리업,30
자동차운수업및택배업·퀵서비스업,자동차운수업,31
전기·가스·증기·수도사업,전기·가스·증기·수도사업,32
전기·가스·증기및수도사업,전기·가스·증기·수도사업,32
전기기계기구·정밀기구·전자제품제조업,전기·전자·정밀기구제조업,33
전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업,전기·전자·정밀기구제조업,33
전기기계기구제조업,전기·전자·정밀기구제조업,33
전문·보건·교육·여가관련서비스업,전문·보건·교육·여가관련서비스업,35
전문기술서비스업,전문기술서비스업,34
전자제품제조업,전기·전자·정밀기구제조업,33
주한미군,기타,7
창고및운수관련서비스업,창고및운수관련서비스업,36
창고업,창고및운수관련서비스업,36
철도·궤도및삭도운수업,철도·항공운수및서비스,37
철도·항공·창고·운수관련서비스업,철도·항공운수및서비스,37
철도ㆍ궤도ㆍ삭도ㆍ항공운수업,철도·항공운수및서비스,37
출판·인쇄·제본또는인쇄물가공업,출판·인쇄·제본업,38
출판·인쇄·제본업,출판·인쇄·제본업,38
출판ㆍ인쇄ㆍ제본또는인쇄물가공업,출판·인쇄·제본업,38
"코크스,연탄및석유정제품제조업",화학·의약품·석유제품제조업,42
통신업,통신업,39
펄프·지류제조업및제본또는인쇄물가공업,목재·종이·펄프제조업,13
펄프ㆍ지류제조업,목재·종이·펄프제조업,13
항공운수업,항공운수업,40
해외파견자,기타,7
화학및고무제품제조업,화학및고무제품제조업,43
화학제품제조업,화학및고무제품제조업,43
