task,industry,train_rows,test_rows,n_classes,accuracy,precision,recall,f1_macro,f1_weighted,best_num_leaves,best_max_depth,best_learning_rate,best_min_child_samples
발생형태,건설업,198197,69611,23,0.3688,0.0841,0.0687,0.0552,0.3038,130,9,0.08717,96
발생형태,광업,19504,5320,23,0.9598,0.1174,0.0847,0.0924,0.9457,145,10,0.02866,42
발생형태,기타의사업,295536,108790,23,0.3619,0.1622,0.11,0.1028,0.2683,43,5,0.08542,58
발생형태,운수·창고·통신업,60411,34659,23,0.4333,0.1073,0.0753,0.0717,0.3462,64,9,0.01875,35
발생형태,제조업,206922,65571,23,0.3834,0.1301,0.085,0.0757,0.3014,135,4,0.03917,75
발생형태,소규모통합,15954,5011,23,0.3287,0.1178,0.1377,0.1236,0.2889,50,8,0.04133,82
재해정도_발생형태기반,건설업,198197,69611,8,0.3799,0.1927,0.1552,0.1405,0.3185,148,3,0.09408,100
재해정도_발생형태기반,광업,19504,5320,8,0.5256,0.3393,0.22,0.2159,0.4609,174,8,0.06607,13
재해정도_발생형태기반,기타의사업,295536,108790,8,0.3758,0.1919,0.1619,0.1485,0.3168,56,10,0.01183,97
재해정도_발생형태기반,운수·창고·통신업,60411,34659,8,0.3726,0.1768,0.158,0.1434,0.2939,165,4,0.01655,25
재해정도_발생형태기반,제조업,206922,65571,8,0.3887,0.4044,0.2143,0.2045,0.3609,118,5,0.05233,69
재해정도_발생형태기반,소규모통합,15954,5011,8,0.3554,0.2303,0.1761,0.1743,0.3196,189,9,0.01001,79
질병종류,건설업,18145,23543,9,0.5176,0.2614,0.1432,0.1381,0.4421,45,9,0.08577,66
질병종류,광업,18445,5100,9,0.4863,0.2411,0.1564,0.1544,0.4402,48,6,0.06863,62
질병종류,기타의사업,32029,11459,9,0.5316,0.3322,0.2581,0.2642,0.5204,21,5,0.05432,12
질병종류,운수·창고·통신업,5027,2167,9,0.4993,0.3105,0.3098,0.291,0.4542,165,3,0.01528,14
질병종류,제조업,43159,17782,9,0.5656,0.4073,0.2491,0.2645,0.5147,173,7,0.01873,17
질병종류,소규모통합,1361,519,7,0.5145,0.3924,0.3784,0.37,0.4868,144,7,0.06453,45
세부질병종류,건설업,18145,23543,31,0.5168,0.1506,0.0624,0.0629,0.4179,127,8,0.02404,10
세부질병종류,광업,18445,5100,28,0.4871,0.1081,0.0831,0.0817,0.4407,101,6,0.06982,40
세부질병종류,기타의사업,32029,11459,29,0.4975,0.1424,0.1101,0.1063,0.4452,159,4,0.03163,35
세부질병종류,운수·창고·통신업,5027,2167,26,0.3992,0.1435,0.1368,0.1272,0.3597,142,10,0.06834,17
세부질병종류,제조업,43159,17782,32,0.5581,0.2391,0.1106,0.1126,0.4836,132,3,0.04414,32
세부질병종류,소규모통합,1361,519,21,0.474,0.233,0.1902,0.1905,0.4266,152,3,0.03246,11
재해정도_질병기반,건설업,18145,23543,8,0.4614,0.3336,0.1636,0.1297,0.3256,119,5,0.07575,62
재해정도_질병기반,광업,18445,5100,8,0.5367,0.301,0.2085,0.1982,0.4653,70,5,0.04793,42
재해정도_질병기반,기타의사업,32029,11459,8,0.4375,0.3481,0.2019,0.1763,0.3326,20,10,0.07525,11
재해정도_질병기반,운수·창고·통신업,5027,2167,8,0.3969,0.2397,0.2159,0.1895,0.3,108,7,0.06238,27
재해정도_질병기반,제조업,43159,17782,8,0.4994,0.3908,0.2232,0.1987,0.413,39,8,0.09817,48
재해정도_질병기반,소규모통합,1361,519,8,0.3834,0.2316,0.2096,0.1844,0.306,64,9,0.02686,58
