gong_jong,떨어짐,물체에맞음,깔림.뒤집힘,끼임,무너짐,부딪힘,절단베임찔림,감전,빠짐익사,넘어짐,합계
4. 마감공사,608,20,6,21,8,18,12,10,9,16,751
12. 공통공사,217,45,35,28,27,22,18,15,9,7,463
"5. 전기, 기계설비공사",222,17,15,31,5,9,14,35,5,5,390
2. 철근콘크리트공사,172,41,27,13,29,6,16,3,5,7,336
3. 철골공사,127,11,4,4,5,8,3,0,0,3,167
11. 기타 토목공사,22,16,23,10,52,10,3,2,8,1,157
1. 토공사,25,35,27,21,15,7,8,1,6,0,153
6. 조경공사,14,6,17,5,0,5,6,5,0,0,60
7. 도로 및 포장공사,6,0,25,8,2,5,0,0,2,0,54
9. 터널공사,3,6,2,3,1,0,1,0,0,0,17
10. 하천 및 항만공사,1,1,0,1,0,0,1,0,8,1,15
8. 교량공사,4,2,2,1,0,1,0,0,1,0,11
