기인물,건수
비계,129
"지붕(처마,홈통)",129
철골(철골구조물),118
사다리,116
고소작업대,114
굴착기,104
슬라브단부,92
"지붕(채광판,선라이트)",90
작업발판/가설계단,85
거푸집,80
기계설비,80
개구부(바닥개구부),79
트럭,76
이동식비계,70
달비계,70
충전부,69
개구부(기타개구부),67
토사,65
"기타자재(내부마감재,시멘트,마대)",63
이동식크레인,61
화학물질,50
기타구조물,47
분류불능,41
"각재(파이프,강관,합판)",39
벽체,38
철골(철골자재),38
기타건설장비,32
전주,32
계단,32
고정식크레인,31
"철근콘크리트자재(철근,콘크리트,PC)",31
흙막이가시설,30
천공기/항타기,30
수목,25
리프트,24
천장(판넬 등 마감재),23
콘크리트펌프카,22
지게차,21
엘리베이터피트,21
외부마감재,21
암석,20
물,19
배관,18
방망,17
말비계,17
로울러,15
교통수단,14
동바리,11
비계(일체형비계),11
바닥(바닥에 걸려 넘어짐),11
용접(단)기,8
콘크리트믹서,7
절단기/톱,6
기타가설구조물,5
기초파일,4
기타건설기계기구,3
원인미상,3
