작업명,건수
4.8 판넬 등 외부마감 작업,255
5.2 기계설비 작업,208
2.1 거푸집 작업,180
3.1 철골 작업,167
5.1 전기 설비 작업,150
12.2 안전가시설 작업,127
"12.7 기타(작업환경, 청소 등)",126
"12.1 철거, 해체",124
4.4 도장작업,116
"4.1 조적, 미장 및 견출작업",115
11.4 맨홀 및 관부설작업,106
2.4 콘크리트 작업,79
4.7 수장 작업,67
4.5 금속 및 잡철물 작업,61
6.1 조경작업,60
4.2 방수 작업,58
2.3 철근 작업,51
1.3 기초파일 작업,48
12.5 양중기 작업,47
1.1 굴착 작업,46
1.2 흙막이 지보공 작업,45
4.3 석재 및 타일 작업,40
4.6 창호 및 유리 작업,39
11.1 부대 토목 작업,36
5.3 엘리베이터 설치 작업,32
7.1 포장 작업,31
2.2 갱폼 작업,26
"12.6 위험기계기구 작업(장비수리, 이동 등)",25
7.2 포설 및 다짐 작업,23
12.3 가설전기 작업,12
1.4 되메움 작업,11
"10.2 수중, 해상공사",11
8.2 강교 설치 작업,7
9.2 터널 굴착 작업,7
11.2 가설도로 작업,7
11.3 지장물 조사 및 이설 작업,7
9.3 터널 보강 작업,4
10.1 준설매립,4
1.6 그라우팅작업,2
8.1 슬립폼(슬라이딩폼) 작업,2
9.1 라이닝 거푸집 작업,2
9.4 수직구 작업,2
12.4 가설플랜트 작업,2
1.5 발파 작업,1
8.3 PSC 교량 작업,1
8.4 특수교량 작업,1
9.5 갱구부 작업,1
9.6 특수터널 작업,1
11.5 특수댐 작업,1
