고위험작업·상황,건수
"설비 위, 지붕 등 높은 장소에서의 작업",186
작업장소 통행/이동,146
비정형 작업(이물질 제거·청소),123
비정형 작업(점검),122
상하차 작업 또는 적재된 화물,117
위험물질 취급 또는 그 장소에서 수행하는 작업,110
비정형 작업(정비·보수),107
"크레인(천장주행, 갠트리, 지브 등) 사용 작업",106
사다리를 이용한 작업 또는 통행,101
지게차를 사용하는 작업,101
용접·절단·사상 또는 도장 작업,62
벌목·조재 작업,60
건설기계를 사용하는 작업,50
리프트 관련 작업,50
혼재작업(작업자-작업차량),40
"피트, 맨홀, 오·폐수 처리시설 등 밀폐된 장소에서 작업",39
가공 설비를 이용한 작업,38
전기설비 취급 작업,34
인력 운반 작업,32
비정형 작업(시운전),28
고소작업대 사용 작업,25
차량을 이용한 작업,23
기계식 주차설비 정비·점검 작업,19
"이동식 크레인(카고 크레인, 집게차)을 사용한 작업",18
자동화 설비 작업,18
도로에서의 자동차 운전,17
원료 투입 작업,16
조경·제초작업,16
채석장에서의 작업,11
도로 청소 등 환경미화 작업,11
그라인더 등 수공구를 사용하는 작업,10
용해로를 이용한 작업,9
사다리차(이삿짐 운반용 차량) 사용 작업,6
폐기물 수거·선별 작업,5
잠수 작업,2
