기인물,건수
분류 불가,327
지게차,124
컨베이어,56
사다리(이동식/A형),48
나무(벌도목),47
리프트(일반작업용),39
인화성물질,39
크레인(천장주행크레인),35
굴착기(백호우),33
화물운반트럭(카고트럭),32
건설기계(로더),28
지붕·대들보(선라이트/채광창),27
사다리(이동식/일자형),23
산업용로봇,19
기계식 주차설비,18
사다리(고정식),18
적재물(톤백),16
유해가스,13
전기충전부,12
분쇄·파쇄기,12
크레인(이동식크레인/카고크레인),12
화물운반트럭(덤프트럭),12
사출성형기,12
사출성형기(블로우몰딩머신),11
유해가스(황화수소),11
사다리(이동식/조경용),10
줄걸이기구(섬유로프/슬링벨트),9
엘리베이터,9
이동대차,9
화물운반트럭(청소차량/압착식진개차),9
생산설비(프레스),9
기타 차량(버스),9
크레인(갠트리크레인),9
달비계 로프,8
암석,8
고소작업대(시저형/렌탈),8
혼합기,8
지붕·대들보(슬레이트),7
혼합기(콘크리트 믹서),7
인화성물질(LPG),7
줄걸이기구(훅),7
줄걸이기구(리프팅 러그),7
적재물,7
리프트(간이리프트),6
줄걸이기구(와이어로프),6
고소작업대(차량탑재형/스카이),6
화학물질(황산),6
기타 차량(사다리차/이삿짐운반용 차량),6
기타 차량(오토바이),6
지붕·대들보(샌드위치판넬),6
적재물(적재대),5
비계(BT아시바/이동식비계),5
기타 차량(승용차),5
기타 차량(전동카트),5
지붕·대들보(천막),5
고온물질(스팀),5
줄걸이기구(클램프),5
크레인(이동식크레인/집게차),5
기타 차량(열차/기차),4
혼합기(식품용),4
용접기(가스절단기/용접기),4
화물운반트럭(암롤트럭),4
운반물(파이프 더미),4
비계(강관비계),4
혼합기(교반기),4
화물운반트럭(탱크로리),4
섬유로프(슬링벨트),4
생산설비(연신기),4
차량탑재형 고소작업대(스카이),4
생산설비(압출기),3
생산설비(원심기),3
나무(조재목),3
적재물(철판),3
가공물(H빔),3
기타 설비(테이블 리프트),3
생산설비(와인더/권취기),3
생산설비(압축기),3
나무,3
기타 설비(동력문),3
고온물질(고온수),3
줄걸이기구(체인),3
적재물(코일),3
전기충전부(콘센트),3
기타 설비(공기압축기),3
유해가스(질소),3
수공구(핸드 그라인더),3
용접기(CO2용접기),3
운반물(파이프),2
금속가공기계(CNC선반),2
자동화설비(큐빙기),2
금속가공기계(드릴기),2
이동대차(전동이동식),2
적재물(파렛트),2
기타 차량(야드 트랙터),2
용접기(교류아크용접기),2
적재물(리프팅 프레임),2
적재물(고철더미),2
지붕·대들보(석고보드),2
적재물(석재),2
고소작업대(굴절식),2
수공구(핸드그라인더),2
생산설비(신선기),2
인화성물질(메탄올),2
화학물질(삼불화질소),2
생산설비,2
금속가공기계(범용선반),2
자동화설비(갠트리로더<자동이송장치>),2
운반물(H빔),2
인양물,2
생산설비(환편기),2
금속가공설비(CNC 드릴),2
생산설비(발포기/가압성형기),2
기타 차량(스노우모빌),2
자동화설비(포장기),2
자동화설비(파렛타이저),2
자동화설비,2
기타 차량(승합차),2
수공구(공구길이 연장용 파이프),2
화물운반트럭(살수차),2
생산설비(열처리로),2
화물운반트럭(트레일러),2
운반물(금형),2
화물운반트럭(화물트럭),2
적재물(금형),2
화학물질(화약),2
생산설비(발포성형기),2
생산설비(롤러),2
건설기계(기중기),2
기타 설비(기계톱),2
생산설비(블록성형기),2
가공물(철판),2
건설기계(불도저),2
기타 차량(농기계/트랙터),2
가공물,2
기타 설비(배선용 차단기),2
적재물(원목더미),2
운반물(코일),2
기타 설비(소각로),2
자동화설비(갠트리 로더),2
자동화설비(세척기),2
화학물질,2
금속가공기계(CNC 선반),2
고소작업대(보행식),2
나무(고사목),2
전기충전부(전선),2
나무(기타),2
적재물(강관주),2
화학물질(수산화나트륨/가성소다),2
용접기(아르곤용접기),2
에스컬레이터,1
안전난간,1
적재물(정비중인 구조물/측면판),1
화학물질(윤활유),1
기타 설비(필터프레스),1
가공물(용접구조물/트러스),1
운반물(사다리),1
유해가스(일산화탄소),1
기타 설비(핀세터기),1
전기충전부(충전전로/케이블),1
이동대차(원단건조대),1
생산설비(레이저 절단기),1
적재물(샌드위치 패널),1
생산설비(자력 선별기),1
인화성물질(에틸알코올),1
기타 설비(송풍기),1
생산설비(염색기),1
화학물질(테레프탈산/PTA),1
생산설비(쉐이빙기),1
생산설비(펄퍼기),1
인화성물질(톨루엔),1
생산설비(사료건조기),1
크레인(호이스트),1
화물운반트럭(워킹카),1
생산설비(쇼트기),1
생산설비(칠러/냉각기),1
생산설비(주조기/다이캐스팅기),1
적재물(공작기계용 베드),1
적재물(모터),1
기타 설비(파열판),1
자동화설비(자동이송설비),1
기타 차량(트리퍼 카),1
생산설비(진공 성형기),1
운반물(가구),1
생산설비(가열로<발포로>),1
건설기계(레미콘믹서트럭),1
생산설비(킬른/석회소성로),1
생산설비(폐레미콘 재생설비),1
생산설비(여과기),1
생산설비(열분해로),1
자동화설비(너클 완체결 머신),1
암석/암반,1
생산설비(전도기),1
가공물(블록 부재),1
인화성물질(휘발유),1
자동화설비[자동급지장치(Automatic Sheet Feeder)],1
적재물(수직부재),1
운반물(차량테크),1
기타 설비(코팅기/냉각롤),1
운반물(모듈유닛),1
운반물(앵글 다발),1
가공물(축전지),1
유해가스(아르곤가스),1
가공물(선박엔진 부분품/에어쿨러 프레임-AFT),1
기타 설비(Forming Arm),1
적재물(각재목 묶음),1
화물운반트럭(청소차량/음식물수거차),1
유해가스(세척액증기),1
적재물(펄프),1
자동화설비(압착탈수기),1
생산설비(코일이송장치/Turn-Stile Unloader),1
생산설비(동력식 수동대패),1
생산설비(초지기),1
금속가공설비(터닝센터),1
기타 설비(파쇄기/텐선로드),1
자동화설비(골게터),1
이동 대차(캐리어),1
생산설비(트레버스),1
운반물(톤백),1
기타 설비(수중 펌프),1
적재물(수거용기),1
화학물질(소화약제분말),1
인화성물질(부생가스),1
운반물(파이프 다발),1
운반물(육수),1
생산설비(레피어직기/Rapier loom/RPL),1
생산설비(냉간성형기),1
운반물(환봉더미),1
적재물(강화유리),1
적재물(철선코일),1
