mid_industry,떨어짐,끼임,깔림.뒤집힘,물체에맞음,부딪힘,폭발파열,절단베임찔림,무너짐,화재,산소결핍,합계
기계기구·금속·비금속광물제품제조업,114,166,73,56,32,28,29,15,10,10,579
시설관리및사업지원서비스업,86,35,12,6,9,2,4,1,4,7,196
화학및고무제품제조업,31,47,18,5,8,32,4,2,16,0,178
도소매·음식·숙박업,47,26,18,6,12,8,4,5,0,1,141
철도·항공·창고·운수관련서비스업,19,14,10,6,8,0,0,3,1,1,69
식료품제조업,14,25,2,2,5,2,3,5,0,3,68
수제품및기타제품제조업,25,15,8,3,1,5,1,3,2,2,66
기타의각종사업,28,10,7,3,2,1,1,2,1,2,65
선박건조및수리업,20,12,8,6,5,4,4,1,1,3,64
임업,9,1,8,29,1,0,6,0,0,0,60
전문·보건·교육·여가관련서비스업,30,4,1,0,2,3,0,0,2,2,52
섬유및섬유제품제조업,10,22,3,0,0,2,3,1,3,0,50
목재및종이제품제조업,10,16,5,3,2,1,2,3,1,0,44
전기기계기구·정밀기구·전자제품제조업,12,13,6,0,1,1,0,1,1,0,40
농업,12,1,6,0,2,2,0,1,0,4,30
