고유번호,산재업종(대분류),산재업종(중분류),산재업종(소분류),재해개요,기인물,고위험작업·상황,재해유발요인,위험성 감소대책(예시)
2016-11-11-001,제조업,전기기계기구·정밀기구·전자제품제조업,전자관또는반도체소자제조업,2016년 9월경 OO빌딩 기계식 주차장에서 재해자가 차량이 출고되지 않아 주차설비의 점검을 위해 설비를 정지하지 않은 상태에서 주차기 내부로 들어갔다가 지상 1층에서 지하 3층으로 추락해 사망,기계식 주차설비,기계식 주차설비 정비·점검 작업,『정비작업 중 작업자 외 근로자가 설비를 가동』하여 갑자기 작동된 설비에 말리거나 끼임,"▶ 생산 설비의 불시 가동을 방지하기 위한 LOTO(Lock Out_잠금장치, Tag Out_점검 중 꼬리표)제도 시행
▶ 관리감독자 확인 의무 부여"
2016-11-51-001,기타의사업,시설관리및사업지원서비스업,사업서비스업,2015년 10월경 OO교육시설에서 재해자가 후문 캐노피(약 2.4m)에 설치된 CCTV 방향을 조정하고 이동식사다리(A형)로 내려오던 중 추락하여 사망 ,사다리(이동식/A형),사다리를 이용한 작업 또는 통행,『사다리 위에 올라가 작업』하던 중 균형을 잃고 머리부터 바닥으로 떨어짐,"▶ 3.5m 미만 작업 시 A자형 사다리만 사용(2인1조)
▶ 아웃트리거 설치 및 안전대, 안전모 등 개인보호구 착용"
2016-11-51-002,기타의사업,도소매·음식·숙박업,도소매및소비자용품수리업,2016년 3월경 OO사업장 3층 창고에서 재해자가 일반작업용 리프트를 작동시킨 후 운반구에 떨어진 거래명세서를 잡으려다 하강하는 운반구 상부 프레임과 건물 단면(창문) 사이에 몸이 끼어 사망,리프트(일반작업용),비정형 작업(이물질 제거·청소),『설비를 정지시키지 않거나 전원을 차단하지 않은 상태』에서 정비·보수·청소 등의 작업을 하다가 끼이거나 말림,"▶ 설비 가동중 이물질 제거 등이 발생할 수 있는 생산작업을 분석하고 근원적 접근방지대책 수립
▶ 끼임재해 우려가 있어 가동정지 후 작업이 필요한 설비 목록화→LOTO(Lock Out,  Tag Out) 대상 확정·시행 
▶ 작업 절차에 대해 근로자 교육실시"
2016-11-51-003,기타의사업,시설관리및사업지원서비스업,건물등의종합관리사업,2016년 3월경 OO빌딩 배수실의 배수탱크 상부에서 재해자가 체크밸브의 이물질을 제거하기 위해 작업을 하던 중 약2.6m 아래 바닥으로 추락해 사망,분류 불가,비정형 작업(이물질 제거·청소),『작업을 위해 밟고 있던 구조물이 파손되거나 균형을 잃기 쉬운 불안한 자세』로 작업하여 넘어지거나 떨어짐,"▶ 안전난간이 설치된 작업발판을 설치·사용
▶ 고소작업대 사용 또는 3.5m미만은 A자형 사다리 사용(2인1조) 관리
▶ 안전대 및 안전모 지급·착용 등 관리감독자 확인"
2016-11-51-004,운수창고통신업,육상및수상운수업,택시및경차량운수업,2016년 4월경 OO빌딩에서 재해자가 에스컬레이터 핸드레일 고장 수리 작업을 하던 중 기계실 내부 고정부와 에스컬레이터 발판 사이에 끼어 사망,에스컬레이터,비정형 작업(정비·보수),『설비를 정지시키지 않거나 전원을 차단하지 않은 상태』에서 정비·보수·청소 등의 작업을 하다가 끼이거나 말림,"▶ 설비 가동중 이물질 제거 등이 발생할 수 있는 생산작업을 분석하고 근원적 접근방지대책 수립
▶ 끼임재해 우려가 있어 가동정지 후 작업이 필요한 설비 목록화→LOTO(Lock Out,  Tag Out) 대상 확정·시행 
▶ 작업 절차에 대해 근로자 교육실시"
2016-11-51-005,운수창고통신업,철도·항공·창고·운수관련서비스업,철도·궤도운수업,2016년 5월경 OO역 플랫폼에서 재해자가 스크린도어 센서를 점검하던 중 진입하는 열차에 치여 사망,기타 차량(열차/기차),비정형 작업(점검),『설비를 정지시키지 않거나 전원을 차단하지 않은 상태』에서 정비·보수·청소 등의 작업을 하다가 끼이거나 말림,"▶ 설비 가동중 이물질 제거 등이 발생할 수 있는 생산작업을 분석하고 근원적 접근방지대책 수립
▶ 끼임재해 우려가 있어 가동정지 후 작업이 필요한 설비 목록화→LOTO(Lock Out,  Tag Out) 대상 확정·시행 
▶ 작업 절차에 대해 근로자 교육실시"
2016-11-51-006,기타의사업,시설관리및사업지원서비스업,건물등의종합관리사업,2016년 6월경 OO빌딩에서 재해자가 천장에 진입해 스프링쿨러 배관부속을 교체하고 나오던 중 에어컨 실외기 전원케이블의 충전부에 접촉해 감전되어 사망,전기충전부,전기설비 취급 작업,"아크릴판, 소켓 등 『충전부 방호조치가 미흡하거나 없이 노출된 충전부』에 접촉하여 감전","▶ 정전작업 후 전기점검 및 조작 실시
▶ 활선작업용기구·장치  사용 및 절연용 보호구 착용"
2016-11-51-007,기타의사업,도소매·음식·숙박업,도소매및소비자용품수리업,2016년 7월경 OO빌딩에서 재해자가 천장의 곰팡이를 제거하기 위해 이동식 사다리(A형)에 올라가 곰팡이를 닦던 중 중심을 잃고 2.2m 아래로 추락해 사망,사다리(이동식/A형),사다리를 이용한 작업 또는 통행,『사다리 위에 올라가 작업』하던 중 균형을 잃고 머리부터 바닥으로 떨어짐,"▶ 3.5m 미만 작업 시 A자형 사다리만 사용(2인1조)
▶ 아웃트리거 설치 및 안전대, 안전모 등 개인보호구 착용"
2016-11-51-008,기타의사업,시설관리및사업지원서비스업,건물등의종합관리사업,2016년 9월경 OO공연장 무대에서 재해자가 청소작업을 하던 중 무대 바닥에 설치된 비상구(개구부)에 발을 헛디뎌 약 1.65m 아래 계단으로 추락해 사망,분류 불가,작업장소 통행/이동,이동 중 『어두운 장소의 요철부』에 걸려 넘어지거나 실족하여 떨어짐,"▶ 바닥에 존재하는 기름기 등 제거 조치
▶ 유분 비산을 방지하기 위한 가림판 설치"
2016-11-51-009,기타의사업,시설관리및사업지원서비스업,건물등의종합관리사업,2016년 10월경 OO빌딩 기계식 주차장에서 재해자가 설비 오류를 확인하고 주차기 내부에서 정비작업을 수행하던 중 설비 틈새로 추락하여(약 5.3m) 사망,기계식 주차설비,기계식 주차설비 정비·점검 작업,『정비작업 중 작업자 외 근로자가 설비를 가동』하여 갑자기 작동된 설비에 말리거나 끼임,"▶ 생산 설비의 불시 가동을 방지하기 위한 LOTO(Lock Out_잠금장치, Tag Out_점검 중 꼬리표)제도 시행
▶ 관리감독자 확인 의무 부여"
