연령,성별,시도,규모,건설공사금액,P_FL_given_accident
20~29세,남,강원,"1,000인 이상","1,000억원 이상",4.10711352061771e-05
20~29세,남,강원,100~299인,"1,000억원 이상",4.480487477037502e-05
20~29세,남,강원,100~299인,120억~300억원 미만,1.1201218692593755e-05
20~29세,남,강원,100~299인,300억~500억원 미만,2.240243738518751e-05
20~29세,남,강원,100~299인,3억~20억원 미만,3.733739564197918e-06
20~29세,남,강원,100~299인,"500억~1,000억원 미만",4.10711352061771e-05
20~29세,남,강원,10~19인,20억~50억원 미만,4.480487477037502e-05
20~29세,남,강원,10~19인,3억~20억원 미만,4.853861433457293e-05
20~29세,남,강원,10~19인,3억원 미만,3.733739564197918e-06
20~29세,남,강원,10~19인,50억~120억원 미만,1.866869782098959e-05
20~29세,남,강원,20~49인,"1,000억원 이상",3.733739564197918e-06
20~29세,남,강원,20~49인,120억~300억원 미만,7.467479128395836e-06
20~29세,남,강원,20~49인,20억~50억원 미만,2.9869916513583344e-05
20~29세,남,강원,20~49인,3억~20억원 미만,3.733739564197918e-06
20~29세,남,강원,20~49인,3억원 미만,1.1201218692593755e-05
20~29세,남,강원,20~49인,50억~120억원 미만,3.3603656077781265e-05
20~29세,남,강원,300~499인,"1,000억원 이상",5.2272353898770854e-05
20~29세,남,강원,300~499인,300억~500억원 미만,3.733739564197918e-06
20~29세,남,강원,500~999인,"1,000억원 이상",3.733739564197918e-06
20~29세,남,강원,50~99인,120억~300억원 미만,2.6136176949385427e-05
20~29세,남,강원,50~99인,20억~50억원 미만,7.467479128395836e-06
20~29세,남,강원,50~99인,300억~500억원 미만,7.467479128395836e-06
20~29세,남,강원,50~99인,"500억~1,000억원 미만",3.733739564197918e-06
20~29세,남,강원,50~99인,50억~120억원 미만,7.467479128395836e-06
20~29세,남,강원,5~9인,20억~50억원 미만,7.467479128395836e-06
20~29세,남,강원,5~9인,3억~20억원 미만,9.334348910494795e-05
20~29세,남,강원,5~9인,3억원 미만,2.6136176949385427e-05
20~29세,남,강원,5인 미만,"1,000억원 이상",7.467479128395836e-06
20~29세,남,강원,5인 미만,120억~300억원 미만,3.733739564197918e-06
20~29세,남,강원,5인 미만,20억~50억원 미만,3.733739564197918e-06
20~29세,남,강원,5인 미만,300억~500억원 미만,3.733739564197918e-06
20~29세,남,강원,5인 미만,3억~20억원 미만,7.840853084815628e-05
20~29세,남,강원,5인 미만,3억원 미만,0.0004592499663963439
20~29세,남,강원,5인 미만,50억~120억원 미만,3.733739564197918e-06
20~29세,남,경기,"1,000인 이상","1,000억원 이상",0.0002650955090580522
20~29세,남,경기,"1,000인 이상","500억~1,000억원 미만",3.733739564197918e-06
20~29세,남,경기,100~299인,"1,000억원 이상",0.0004256463103185627
20~29세,남,경기,100~299인,120억~300억원 미만,5.973983302716669e-05
20~29세,남,경기,100~299인,20억~50억원 미만,7.467479128395836e-06
20~29세,남,경기,100~299인,300억~500억원 미만,0.00011947966605433338
20~29세,남,경기,100~299인,"500억~1,000억원 미만",0.0003733739564197918
20~29세,남,경기,100~299인,50억~120억원 미만,1.4934958256791672e-05
20~29세,남,경기,10~19인,"1,000억원 이상",7.467479128395836e-06
