산업,연령,성별,시도,규모,P_F
건설업,20~29세,남자,강원,100~299인,1.0750065468892737e-05
건설업,20~29세,남자,강원,10~19인,1.805951045468065e-05
건설업,20~29세,남자,강원,20~49인,1.6663556246216683e-05
건설업,20~29세,남자,강원,50~99인,2.3546380941713346e-05
건설업,20~29세,남자,강원,5~9인,1.7992628953776288e-05
건설업,20~29세,남자,강원,5인 미만,5.236979451860908e-05
건설업,20~29세,남자,경기,"1,000인 이상",9.975417302595635e-06
건설업,20~29세,남자,경기,100~299인,0.00018505104680919773
건설업,20~29세,남자,경기,10~19인,5.7034531894606365e-05
건설업,20~29세,남자,경기,20~49인,6.383825643576646e-05
건설업,20~29세,남자,경기,300~499인,0.00016449113812880357
건설업,20~29세,남자,경기,500~999인,0.0001328128796170862
건설업,20~29세,남자,경기,50~99인,0.0001292793739710408
건설업,20~29세,남자,경기,5~9인,6.528575006927002e-05
건설업,20~29세,남자,경기,5인 미만,0.0002496429435016185
건설업,20~29세,남자,경남,100~299인,3.027870358132975e-05
건설업,20~29세,남자,경남,10~19인,1.5530160501890938e-05
건설업,20~29세,남자,경남,20~49인,1.4720685218100879e-05
건설업,20~29세,남자,경남,300~499인,8.871882330081997e-06
건설업,20~29세,남자,경남,50~99인,2.4025866891336067e-05
건설업,20~29세,남자,경남,5~9인,1.865566482812553e-05
건설업,20~29세,남자,경남,5인 미만,5.985913902555153e-05
건설업,20~29세,남자,경북,100~299인,2.865600315108287e-05
건설업,20~29세,남자,경북,10~19인,1.9093162338583573e-05
건설업,20~29세,남자,경북,20~49인,1.5616660840542584e-05
건설업,20~29세,남자,경북,300~499인,1.5018244179582914e-05
건설업,20~29세,남자,경북,50~99인,2.7909890937824838e-05
건설업,20~29세,남자,경북,5~9인,2.3930584201802425e-05
건설업,20~29세,남자,경북,5인 미만,7.222583812298045e-05
건설업,20~29세,남자,광주,100~299인,5.190438960092968e-05
건설업,20~29세,남자,광주,10~19인,9.132220564820423e-06
건설업,20~29세,남자,광주,20~49인,1.1425018993788508e-05
건설업,20~29세,남자,광주,300~499인,4.158600078919292e-05
건설업,20~29세,남자,광주,500~999인,4.291584024558715e-05
건설업,20~29세,남자,광주,50~99인,2.441945709689219e-05
건설업,20~29세,남자,광주,5~9인,1.0306224450135223e-05
건설업,20~29세,남자,광주,5인 미만,3.361673530739613e-05
건설업,20~29세,남자,대구,100~299인,2.2616229067787177e-05
건설업,20~29세,남자,대구,10~19인,8.636120895248455e-06
건설업,20~29세,남자,대구,20~49인,9.674238655531975e-06
건설업,20~29세,남자,대구,300~499인,2.802838040939241e-05
건설업,20~29세,남자,대구,500~999인,3.112244302257597e-05
건설업,20~29세,남자,대구,50~99인,1.7673418216644565e-05
건설업,20~29세,남자,대구,5~9인,9.536423091080266e-06
건설업,20~29세,남자,대구,5인 미만,3.499962995030146e-05
건설업,20~29세,남자,대전,"1,000인 이상",1.0201922275331295e-05
건설업,20~29세,남자,대전,100~299인,3.223423121148587e-05
건설업,20~29세,남자,대전,10~19인,7.580845924114549e-06
건설업,20~29세,남자,대전,20~49인,9.501243661947558e-06
건설업,20~29세,남자,대전,300~499인,3.932636830283709e-05
건설업,20~29세,남자,대전,50~99인,1.9089200870747525e-05
건설업,20~29세,남자,대전,5~9인,8.158476459685654e-06
건설업,20~29세,남자,대전,5인 미만,2.9490928337523936e-05
건설업,20~29세,남자,부산,100~299인,6.093115658718105e-05
건설업,20~29세,남자,부산,10~19인,1.3588378854192646e-05
건설업,20~29세,남자,부산,20~49인,1.6983838416744793e-05
건설업,20~29세,남자,부산,300~499인,5.746086274321989e-05
건설업,20~29세,남자,부산,500~999인,5.81323043652988e-05
건설업,20~29세,남자,부산,50~99인,3.616592025091224e-05
건설업,20~29세,남자,부산,5~9인,1.4322619372110253e-05
건설업,20~29세,남자,부산,5인 미만,5.3789119769732593e-05
건설업,20~29세,남자,서울,"1,000인 이상",8.608136246542563e-05
건설업,20~29세,남자,서울,100~299인,0.00017458529275071538
건설업,20~29세,남자,서울,10~19인,2.4774413245847268e-05
건설업,20~29세,남자,서울,20~49인,3.1714110546784984e-05
건설업,20~29세,남자,서울,300~499인,0.00024405452637367
건설업,20~29세,남자,서울,500~999인,0.0003370874995078867
건설업,20~29세,남자,서울,50~99인,8.461857742277933e-05
건설업,20~29세,남자,서울,5~9인,2.4415196144481363e-05
건설업,20~29세,남자,서울,5인 미만,9.238509591441477e-05
건설업,20~29세,남자,세종,100~299인,3.0209731107477353e-06
건설업,20~29세,남자,세종,10~19인,1.052811009496748e-06
건설업,20~29세,남자,세종,20~49인,7.740119853077267e-07
건설업,20~29세,남자,세종,50~99인,3.341081855247949e-06
건설업,20~29세,남자,세종,5~9인,1.3687444761641583e-06
건설업,20~29세,남자,세종,5인 미만,3.305798639188796e-06
건설업,20~29세,남자,울산,100~299인,1.7509817222142728e-05
건설업,20~29세,남자,울산,10~19인,5.020941085259074e-06
건설업,20~29세,남자,울산,20~49인,6.06605190131135e-06
건설업,20~29세,남자,울산,300~499인,2.6020478280437145e-05
건설업,20~29세,남자,울산,500~999인,2.2828429353203536e-05
건설업,20~29세,남자,울산,50~99인,1.0599936819174405e-05
건설업,20~29세,남자,울산,5~9인,4.644464059918372e-06
건설업,20~29세,남자,울산,5인 미만,1.6301890223318495e-05
건설업,20~29세,남자,인천,"1,000인 이상",1.0273422107910402e-05
건설업,20~29세,남자,인천,100~299인,3.608797151666172e-05
건설업,20~29세,남자,인천,10~19인,1.0280719165740655e-05
건설업,20~29세,남자,인천,20~49인,1.232224363400516e-05
건설업,20~29세,남자,인천,300~499인,3.1696031389480665e-05
건설업,20~29세,남자,인천,50~99인,2.774348712750346e-05
건설업,20~29세,남자,인천,5~9인,1.174959287774495e-05
건설업,20~29세,남자,인천,5인 미만,5.506911158397931e-05
건설업,20~29세,남자,전남,100~299인,4.954381482048663e-05
건설업,20~29세,남자,전남,10~19인,1.764725482886805e-05
건설업,20~29세,남자,전남,20~49인,1.7132222690402476e-05
건설업,20~29세,남자,전남,300~499인,4.346505890520289e-05
건설업,20~29세,남자,전남,500~999인,2.5550888417670923e-05
건설업,20~29세,남자,전남,50~99인,2.859484142480597e-05
건설업,20~29세,남자,전남,5~9인,1.7620420891532893e-05
건설업,20~29세,남자,전남,5인 미만,4.835167253876715e-05
건설업,20~29세,남자,전북,100~299인,1.2894219131409252e-05
건설업,20~29세,남자,전북,10~19인,1.3593365644967883e-05
건설업,20~29세,남자,전북,20~49인,1.1333669232582096e-05
건설업,20~29세,남자,전북,50~99인,1.720908989421021e-05
